# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	4629
#@/user_id	8153c35b-79e8-4496-b5ef-103168ff7e21
a 	啊	c=5 d=0.503807 t=4629
a a 	呵呵	c=1 d=1 t=3875
a he 	呵呵	c=0 d=0.1 t=1308
a li 	阿里	c=0 d=0.1 t=80
a li ba ba 	阿里巴巴	c=1 d=1 t=2311
a li tong 	阿里通	c=1 d=1 t=81
a mu da er ding lv 	阿姆达尔定律	c=1 d=1 t=286
a se 	阿瑟	c=1 d=1 t=634
a ta 	A他	c=1 d=1 t=107
a tong mu 	阿童木	c=1 d=1 t=1390
ai 	愛	c=3 d=1.96562 t=4073
ai ai 	愛愛	c=0 d=0.1 t=105
ai ai bei su si 	哀哀悲素丝	c=1 d=1 t=108
ai ai bei su si 	愛愛悲素絲	c=1 d=1 t=106
ai qing 	愛情	c=2 d=1.57407 t=2271
ai wan chu chong cheng 	哀挽出重城	c=1 d=1 t=368
ai wan chu zhong cheng 	哀挽出重城	c=1 d=1 t=369
ai xin 	愛心	c=1 d=1 t=1534
an 	按	c=2 d=0.102517 t=4309
an 	案	c=1 d=1 t=277
an de fu mu ma 	安德夫木马	c=2 d=1.99501 t=288
an quan nei he 	安全内核	c=1 d=1 t=98
an quan xing 	安全性	c=0 d=0.1 t=595
an quan xing she zhi 	安全性設置	c=1 d=1 t=596
an sha 	暗殺	c=1 d=1 t=892
an shu zu 	按數組	c=1 d=1 t=4310
an zhao 	按照	c=1 d=1 t=3347
an zhuang 	安裝	c=2 d=1.99501 t=424
an zhuang bao 	安裝包	c=2 d=1.99005 t=422
an zhuo 	安卓	c=3 d=1 t=3330
ao 	奧	c=1 d=1 t=1353
ao cun ai 	奥村爱	c=0 d=0.1 t=3712
ao se ti 	奧塞梯	c=1 d=1.01075 t=4142
ao se ti ge 	奧塞梯個	c=1 d=1 t=3697
ao ye 	熬夜	c=1 d=1 t=939
ba 	吧	c=2 d=1.13136 t=2924
ba 	把	c=10 d=1.2742 t=3694
ba ba 	爸爸	c=1 d=1 t=3695
ba gong 	罷工	c=1 d=1 t=791
ba ni 	把你	c=1 d=1.03239 t=1526
bai du 	百度	c=3 d=1.36788 t=3918
bai fa 	白髮	c=1 d=1 t=787
bai fen zhi 	百分之	c=1 d=1 t=1123
bai ke 	百科	c=1 d=1 t=1862
bai re 	白熱	c=1 d=1 t=1139
bai tian 	白天	c=1 d=1 t=2734
bai tuo 	擺脫	c=1 d=1 t=2244
bai zhao 	百兆	c=1 d=1 t=471
ban 	板	c=0 d=0.1 t=833
ban 	版	c=1 d=0.373898 t=632
ban 	班	c=1 d=1 t=2732
ban 	辦	c=1 d=1 t=3507
ban ben 	版本	c=3 d=2.70182 t=4116
ban bu fen 	半部份	c=1 d=1 t=4018
ban fa 	辦法	c=2 d=1.02149 t=4610
ban gong 	辦公	c=1 d=1 t=952
ban meng ban xing 	半梦半醒	c=1 d=1 t=1551
ban ye 	半夜	c=1 d=1 t=890
bang ding 	綁定	c=4 d=1.00148 t=4626
bang zhu 	幫助	c=1 d=1 t=2624
bao chi 	保持	c=1 d=1 t=4144
bao cun 	保存	c=2 d=1 t=3961
bao cuo 	報錯	c=1 d=1 t=4057
bao han 	包含	c=1 d=1 t=121
bao hu 	保護	c=1 d=1 t=4540
bao kuo 	包括	c=1 d=1 t=2011
bao liu 	保留	c=1 d=1 t=4543
bao zheng 	保證	c=1 d=1 t=3566
bei 	被	c=2 d=1 t=3708
bei an 	備案	c=0 d=0.1 t=3729
bei bei jia 	背背佳	c=1 d=1 t=1967
bei duo fen 	貝多芬	c=1 d=1 t=1958
bei fen 	備份	c=0 d=0.1 t=615
bei fen ci pan 	備份磁盤	c=1 d=1 t=616
bei fu 	背負	c=1 d=1 t=2826
bei ji gu 	背脊骨	c=1 d=1 t=2563
bei jing 	背景	c=2 d=1 t=3044
bei jing hua 	北京話	c=1 d=1 t=4421
bei ou 	北歐	c=1 d=1 t=1968
bei su si 	悲素絲	c=0 d=0.1 t=105
ben 	本	c=1 d=1 t=3707
ben di 	本地	c=1 d=1 t=3486
ben zhi 	本質	c=2 d=1.17464 t=1520
beng kui 	崩潰	c=1 d=1 t=603
bi 	臂	c=1 d=1 t=2530
bi bu ke shao 	必不可少	c=1 d=1 t=2984
bi ji ben 	筆記本	c=1 d=1 t=3951
bi jiao 	比較	c=2 d=1.08673 t=3623
bi jing 	畢竟	c=1 d=1 t=2917
bi lei 	壁壘	c=1 d=1 t=1200
bi mian 	避免	c=1 d=1.01281 t=2085
bi mian jin zhang 	避免緊張	c=1 d=1 t=1675
bi ru 	比如	c=1 d=1 t=2682
bi xu 	必須	c=2 d=1.01984 t=3791
bi ye sheng 	畢業生	c=1 d=1 t=687
bi yin 	鼻音	c=5 d=4.68179 t=4500
bi zhuang 	必裝	c=1 d=1 t=426
bi zi 	鼻子	c=1 d=1 t=2577
bian 	便	c=1 d=1 t=1636
bian 	變	c=1 d=1 t=3249
bian cheng 	編程	c=4 d=1.9144 t=1222
bian cheng 	變成	c=1 d=1 t=1584
bian hua 	變化	c=2 d=1.96561 t=2887
bian ji 	編輯	c=0 d=0.1 t=415
bian li 	遍歷	c=5 d=2.76499 t=3776
bian liang 	變量	c=13 d=1.08538 t=4031
bian lun 	辯論	c=1 d=1 t=1892
bian lun hui 	辯論會	c=1 d=1 t=1886
bian lun sai 	辯論賽	c=1 d=1 t=1889
bian ma 	編碼	c=0 d=0.1 t=3931
bian qian 	變遷	c=0 d=0.1 t=1222
biao 	標	c=1 d=1 t=4384
biao dian 	標點	c=1 d=1 t=4321
biao yu 	標語	c=1 d=1 t=3033
bie de 	別的	c=1 d=1 t=321
bie de 	憋得	c=0 d=0.1 t=2151
bie de huang 	憋得慌	c=1 d=1 t=2152
bie ren 	別人	c=3 d=1.07377 t=2844
bing 	並	c=2 d=0.469973 t=3629
bing 	病	c=2 d=1.01616 t=1204
bing bu 	並不	c=1 d=1 t=2963
bing bu shi 	並不是	c=1 d=1 t=2647
bing fa zheng 	併發症	c=1 d=1 t=2975
bing fen 	冰粉	c=2 d=1.33287 t=659
bing huo de 	並獲得	c=1 d=1 t=3630
bing mei you 	並沒有	c=1 d=1 t=1334
bing qie 	並且	c=2 d=1.00001 t=4587
bing ren 	病人	c=1 d=1 t=643
bing wei 	並未	c=1 d=1 t=3363
bo fang qi 	播放器	c=1 d=1 t=4037
bo li wa er 	玻利瓦尔	c=1 d=1 t=604
bo lian 	博联	c=2 d=1.97531 t=581
bo mu yu qiao cheng shui ru 	薄暮渔樵乘水入	c=2 d=1.99501 t=105
bo shi 	博士	c=3 d=1.20407 t=1215
bo shi hou 	博士後	c=1 d=1 t=1965
